Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	rawdata/HREC_P_3.mzML	rawdata/HREC_ETIS_1.mzML	rawdata/HREC_P_1.mzML	rawdata/HREC_IRIS_2.mzML	rawdata/HREC_IRIS_1.mzML	rawdata/HREC_IRIS_3.mzML	rawdata/HREC_IRIS_4.mzML	rawdata/HREC_P_2.mzML	rawdata/HREC_ETIS_2.mzML	rawdata/HREC_ETIS_3.mzML	rawdata/HREC_ETIS_4.mzML	rawdata/HREC_P_4.mzML
Q9H777	Q9H777	RNZ1_HUMAN	ELAC1	Zinc phosphodiesterase ELAC protein 1	46751.6	52525.1	39162.9		24322.6	54092.1	17515.8	41897.5	33484.9	22811.6	31086.7	65431.2
Q9H788	Q9H788	SH24A_HUMAN	SH2D4A	SH2 domain-containing protein 4A	127637	117507	153090	111468	103341	112439	114552	273205	115045	107431	94119.9	304695
Q9H792	Q9H792;H0YN99;H3BUZ5	PEAK1_HUMAN	PEAK1	Inactive tyrosine-protein kinase PEAK1	70575.9	91562.8	60971.3	58295.9	95944.8	62968.4	77175.2	68152.9	70607.8	87183.4	96250.3	83563.1
Q9H7B2	Q9H7B2;Q5VXN0	RPF2_HUMAN	RPF2	Ribosome production factor 2 homolog	1.06799e+06	724739	1.05747e+06	903911	888746	911176	851933	965947	916432	985777	945536	1.05715e+06
Q9H7B4	Q9H7B4;B0QZ88	SMYD3_HUMAN	SMYD3	Histone-lysine N-methyltransferase SMYD3	193852	149371	283769	246903	195173	208880	221133	329534	179695	162012	212078	278158
Q9H7C4	Q9H7C4	SYNCI_HUMAN	SYNC	Syncoilin		350143	141189	206446	315235	290805	200402	195900	323147	356476	273286	297096
Q9H7D0	Q9H7D0	DOCK5_HUMAN	DOCK5	Dedicator of cytokinesis protein 5	148552	153440	131653	130944	146488	140244	145324	134367	123716	147030	146255	131120
Q9H7D7	Q9H7D7;H0Y9R3;A0A499FIZ0	WDR26_HUMAN	WDR26	WD repeat-containing protein 26	347183	294102	373351	370192	358585	371375	341404	390125	392036	437800	380714	445952
Q9H7E2	Q9H7E2;B1AMN9	TDRD3_HUMAN	TDRD3	Tudor domain-containing protein 3	106599	89336.7	115610	96460.5	103015	117575	94671.4	141234	120198	113445	89325.9	134425
Q9H7E9	Q9H7E9	CH033_HUMAN	C8orf33	UPF0488 protein C8orf33	707131	463273	569663	451013	468928	427300	435896	552803	438343	473116	498434	696214
Q9H7F0	Q9H7F0;C9J7Z7;A0A2R8YDN7	AT133_HUMAN	ATP13A3	Probable cation-transporting ATPase 13A3	173475	203429	131417	186389	199691	198941	205945	167199	207990	191845	206156	179748
Q9H7H0	Q9H7H0;G3V4H5;G3V4P2;G3V3X6;G3V353	MET17_HUMAN	METTL17	Methyltransferase-like protein 17, mitochondrial	40177.2	25805				22391.7	37969.2			15697	28012	33975.2
Q9H7L9	Q9H7L9	SDS3_HUMAN	SUDS3	Sin3 histone deacetylase corepressor complex component SDS3			10493.8	49694.1	32046.6	30646			35996.5		26597.7	48931.5
Q9H7N4	Q9H7N4	SFR19_HUMAN	SCAF1	Splicing factor, arginine/serine-rich 19	131702	99361	183656	107090	119300	85467.1	94901.3	132271	122637	117148	97272.4	78538.3
Q9H7P9	Q9H7P9;H7BXC7	PKHG2_HUMAN	PLEKHG2	Pleckstrin homology domain-containing family G member 2	122550	163449	110442	158744	173076	154952	151738	128395	129280	132286	124675	111753
Q9H7Z3	Q9H7Z3	NRDE2_HUMAN	NRDE2	Nuclear exosome regulator NRDE2	48982.4	48130.4	38927.7			45178.6	31413	41160.3		25692.9	36862.1	35251
Q9H7Z6	Q9H7Z6	KAT8_HUMAN	KAT8	Histone acetyltransferase KAT8	70087.4	61967.1	85333.3	74297.6	72916	77713.8	62187.6	104886	50982.4	54103.5	57958.8	95994
Q9H7Z7	Q9H7Z7;A6NHH0	PGES2_HUMAN	PTGES2	Prostaglandin E synthase 2	136123	710625	75059.1	518895	449329	466419	428613	448668	452846	434758	464436	336418
Q9H813	Q9H813	PACC1_HUMAN	PACC1	Proton-activated chloride channel	82863.8	96940	71440.2	99652.3	105522		115609	67167.3	96394.5	79448.9	79305.8	74310.4
Q9H819	Q9H819;D6RB03;D6RCS7	DJC18_HUMAN	DNAJC18	DnaJ homolog subfamily C member 18					28135.3	21921.7		15428.6	26011.1	40529	21885.8	
Q9H825	Q9H825;E7ETE0;B5ME25;C9JE69;B3KW44	METL8_HUMAN	METTL8	mRNA N(3)-methylcytidine methyltransferase METTL8	72186.7		78327.5									
Q9H832	Q9H832	UBE2Z_HUMAN	UBE2Z	Ubiquitin-conjugating enzyme E2 Z	45153.3	43505.1	17332.7		63215.3	42188.2	45700.7	63895.7	52282	42033.4	49679	43335.8
Q9H845	Q9H845;H0Y8Z9	ACAD9_HUMAN	ACAD9	Complex I assembly factor ACAD9, mitochondrial	2.00807e+06	2.2139e+06	1.92922e+06	2.25289e+06	2.13957e+06	2.16331e+06	2.41947e+06	2.09115e+06	2.06663e+06	2.12454e+06	2.28782e+06	2.04237e+06
Q9H857	Q9H857;H7C519	NT5D2_HUMAN	NT5DC2	5'-nucleotidase domain-containing protein 2	176318	124645	233733	169156	147121	142159	120410	129028	157865	127406	137602	216674
Q9H871	Q9H871	RMD5A_HUMAN	RMND5A	E3 ubiquitin-protein transferase RMND5A	53365.1	64246.5	82214.8	59356	64713.1	72394	38505.1	51614.6		52961.9	54657.5	51392.5
Q9H875	Q9H875	PKRI1_HUMAN	PRKRIP1	PRKR-interacting protein 1	113621	85451.7	151885	62696.7	91254.1	83437.8	66716.3	148880	92150.8	92470.2	67369.4	156131
Q9H8E8	Q9H8E8;A0A075B6H4	CSR2B_HUMAN	KAT14	Cysteine-rich protein 2-binding protein	92939.2	60870.5	88863.8	59167.4	50918.3	49579.3	58219.3	84832.3	46606.6	51258.8	62398.7	90272
Q9H8G2	Q9H8G2	CAAP1_HUMAN	CAAP1	Caspase activity and apoptosis inhibitor 1	123448	99524.4	95881.3	108757	116977	114458	92973.1	134885	98577.2	100277	86718.6	136216
Q9H8H0	Q9H8H0;J3QR28	NOL11_HUMAN	NOL11	Nucleolar protein 11	246690	157994	245539	155797	167111	159601	166546	220167	160725	164636	155291	205300
Q9H8H2	Q9H8H2;F8WAJ0	DDX31_HUMAN	DDX31	Probable ATP-dependent RNA helicase DDX31	122692	86738.1	125966	113710	110915	106609	122247	114680	92104.8	113436	100918	115464
Q9H8H3	Q9H8H3;F8VQX6;H0YI09	MET7A_HUMAN	METTL7A	Methyltransferase-like protein 7A	32406.9		24615.4		23586.2				22116.3	22618.7		27305
Q9H8K7	Q9H8K7	PAAT_HUMAN	PAAT	ATPase PAAT	72775	62855	67762.9	68657.5	56711.9	77056.3	72031.7	78867.8	53099.9	77513.3	72109.8	96059.4
Q9H8M7	Q9H8M7;X6R9S5	MINY3_HUMAN	MINDY3	Ubiquitin carboxyl-terminal hydrolase MINDY-3	351418	405339	273336	436799	428200	413056	394595	297092	489304	458034	429545	378160
Q9H8M9	Q9H8M9;B8ZZF5	EVA1A_HUMAN	EVA1A	Protein eva-1 homolog A	110057		95090.1			136991		148815	147713	189243	166307	125156
Q9H8S9	Q9H8S9;Q7L9L4;D6RCK3	MOB1A_HUMAN	MOB1A	MOB kinase activator 1A	39456.4			24878.1	38655.8		39177.5	44644.9	34880	31140.2	53923.8	
Q9H8T0	Q9H8T0;H3BM79	AKTIP_HUMAN	AKTIP	AKT-interacting protein	87686	96083.3	105217	103317	92137.4	83645.7	81610.4	91475.8	76859	68649.2	77014.9	108877
Q9H8V3	Q9H8V3;H7C3G1	ECT2_HUMAN	ECT2	Protein ECT2	217541	43992.2	28907.6	43077.5	59502.4	39832.7		182128	56890.1		57826.2	189737
Q9H8W4	Q9H8W4	PKHF2_HUMAN	PLEKHF2	Pleckstrin homology domain-containing family F member 2	60700.1	38559	31789.7		23996.2	25054.6	48335.4		22498.9		50189.9	35020.6
Q9H8Y5	Q9H8Y5;B8ZZS4	ANKZ1_HUMAN	ANKZF1	Ankyrin repeat and zinc finger domain-containing protein 1	291644	217201	268518	183656	216562	226821	228678	270554	228251	228548	238314	250975
Q9H8Y8	Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2	383610	496664	286918	540541	481570	520478	523514	494999	528590	519030	523038	480750
Q9H900	Q9H900	ZWILC_HUMAN	ZWILCH	Protein zwilch homolog	396303	111794	328367	94567.4	111325	110769	122334	353619	76717.1	99011.2	106193	357068
Q9H910	Q9H910;H3BTV5;H3BMV3;H3BU16;A6NGP5;H3BMT0	JUPI2_HUMAN	JPT2	Jupiter microtubule associated homolog 2	1.36261e+07	1.22785e+07	1.49414e+07	1.38751e+07	9.91972e+06	9.30896e+06	8.42734e+06	1.40643e+07	1.43774e+07	1.03942e+07	1.01289e+07	1.60411e+07
Q9H939	Q9H939	PPIP2_HUMAN	PSTPIP2	Proline-serine-threonine phosphatase-interacting protein 2	85390	215051	88092.2	264406	206327	173937	267725	90415.4	237041	256783	370072	102997
Q9H974	Q9H974;C9K0B6	QTRT2_HUMAN	QTRT2	Queuine tRNA-ribosyltransferase accessory subunit 2	392203	324669	403681	397410	401773	348204	344748	363252	320497	332781	392534	483801
Q9H977	Q9H977;C9J016	WDR54_HUMAN	WDR54	WD repeat-containing protein 54				39301.5	39021.8	32600.8	29540.5		26134.4		35135.9	30715.1
Q9H981	Q9H981;H0Y849	ARP8_HUMAN	ACTR8	Actin-related protein 8	67971.4	53895.4	36704.9	50079.5		53172.8	50049.9	67201.6	52728.2	57267.7	45876.3	58603.2
Q9H992	Q9H992	MARH7_HUMAN	MARCH7	E3 ubiquitin-protein ligase MARCH7	55048.9	54239.5	50392.2	33018.5	53740.9		49972.8	74246.9	56613.6	64407.6	60925	50393.9
Q9H993	Q9H993;F5GZY1	ARMT1_HUMAN	ARMT1	Damage-control phosphatase ARMT1	144179	187268	137476	52900.7	62992.4	58640.1	74385.1	25986.3	50875.8	55291.6	64555.7	30388.7
Q9H999	Q9H999;E5RHA5	PANK3_HUMAN	PANK3	Pantothenate kinase 3	168428	162192	215768	145739	138922	141659	131054	228454	122468	121031	141524	209878
Q9H9A5	Q9H9A5;E9PCN5	CNO10_HUMAN	CNOT10	CCR4-NOT transcription complex subunit 10	117181	102899	90914.3	101234	104141	93634.9	87582	131386	92410.6	85202.4	70290.1	119623
Q9H9A6	Q9H9A6	LRC40_HUMAN	LRRC40	Leucine-rich repeat-containing protein 40	638878	609265	615918	521379	464812	539512	549868	733132	502286	502962	533324	554580
Q9H9B1	Q9H9B1;A0A1B0GUD1;A0A1B0GW79;A0A1B0GU48;A0A0D9SEP2;A0A1B0GV09;A0A0D9SFS4;A0A0D9SEQ1;A0A1B0GVZ8;A0A0D9SFG7;A0A0D9SER3;A0A0D9SFX4	EHMT1_HUMAN	EHMT1	Histone-lysine N-methyltransferase EHMT1	313292	177624	191542	269568	237513	200649	155878	268894	195667	203944	207848	201166
Q9H9B4	Q9H9B4;D6RDG7;D6RFI0;S4R2X2	SFXN1_HUMAN	SFXN1	Sideroflexin-1	1.94536e+06	2.46668e+06	1.45507e+06	2.30376e+06	2.46858e+06	2.46778e+06	2.43764e+06	2.01856e+06	2.2386e+06	2.38007e+06	2.33123e+06	1.99575e+06
Q9H9C1	Q9H9C1;G3V4K3	SPE39_HUMAN	VIPAS39	Spermatogenesis-defective protein 39 homolog	353959	507226	422377	430787	394378	392043	397182	378596	456497	399563	400669	365596
Q9H9E3	Q9H9E3;H3BSD2;A0A0A0MS45;J3QLW1;J3KNI1;E9PRT5;H3BMV9	COG4_HUMAN	COG4	Conserved oligomeric Golgi complex subunit 4	260098	292088	262893	331344	351185	340509	335214	298201	350541	346189	346438	331408
Q9H9F9	Q9H9F9	ARP5_HUMAN	ACTR5	Actin-related protein 5	264583	196116	246629	189720	191874	219277	195487	272265	188761	230300	189320	244160
Q9H9G7	Q9H9G7;Q5TA56	AGO3_HUMAN	AGO3	Protein argonaute-3	65555.6	89645.5	78471.2	77901.3	93905.3	103779	103096	88465	72591.6	76559.8	71555	60052
Q9H9H4	Q9H9H4;F5H4M0;F5H1F6	VP37B_HUMAN	VPS37B	Vacuolar protein sorting-associated protein 37B	366133	401400	290559	358530	361160	354826	380797	268955	352474	324008	409457	378882
Q9H9J2	Q9H9J2	RM44_HUMAN	MRPL44	39S ribosomal protein L44, mitochondrial	771116	735806	703360	711698	772883	738881	787602	684489	668871	707461	769507	655783
Q9H9J4	Q9H9J4;E7EWZ4;C9JPC9	UBP42_HUMAN	USP42	Ubiquitin carboxyl-terminal hydrolase 42	34323.9							26859.4	23584.8	25470.4		25968
Q9H9L3	Q9H9L3	I20L2_HUMAN	ISG20L2	Interferon-stimulated 20 kDa exonuclease-like 2			51382.4	58517.9								
Q9H9P8	Q9H9P8;C9JVN9	L2HDH_HUMAN	L2HGDH	L-2-hydroxyglutarate dehydrogenase, mitochondrial	180608	333238	329339	543209	507384	611068	569638	339210	498572	537115	558375	408411
Q9H9Q2	Q9H9Q2;J3QT73;A0A087X1P5;J3KQ34	CSN7B_HUMAN	COPS7B	COP9 signalosome complex subunit 7b	832408	751513	507071	644200	727941	780770	771632	788281	710949	687420	712158	751651
Q9H9Q4	Q9H9Q4;C9JWV4;G5E9Q8;H7C0G7	NHEJ1_HUMAN	NHEJ1	Non-homologous end-joining factor 1	311388	294299	245610	320342	308564	267274	286538	283466	283650	259309	336192	270892
Q9H9R9	Q9H9R9;H3BLZ2	DBND1_HUMAN	DBNDD1	Dysbindin domain-containing protein 1	67887.4	108663	78470.4	111506	111089	86446.3	102107	52525	117343	118078	115534	49169.8
Q9H9S5	Q9H9S5	FKRP_HUMAN	FKRP	Fukutin-related protein	37547.2					46196.2	54644.1		61449.5		69659.6	46559.5
Q9H9T3	Q9H9T3;B4DKA4	ELP3_HUMAN	ELP3	Elongator complex protein 3	301954	242873	264573	475536	432294	511473	528188	305274	429303	453387	507171	519276
Q9H9V9	Q9H9V9;A0A087WT84	JMJD4_HUMAN	JMJD4	2-oxoglutarate and iron-dependent oxygenase JMJD4				241707		237500	223653		211964			
Q9H9Y2	Q9H9Y2	RPF1_HUMAN	RPF1	Ribosome production factor 1	574943	451846	802398	466756	440245	417498	462627	624645	390079	415152	535354	619545
Q9H9Y6	Q9H9Y6	RPA2_HUMAN	POLR1B	DNA-directed RNA polymerase I subunit RPA2	285985	227636	295295	225582	239962	230702	253231	331703	205300	229486	251040	352518
Q9HA38	Q9HA38	ZMAT3_HUMAN	ZMAT3	Zinc finger matrin-type protein 3	161261	146282	129100	72060.8	125371	137010	100620	154465	108917	117002	118668	171434
Q9HA47	Q9HA47;G3V170	UCK1_HUMAN	UCK1	Uridine-cytidine kinase 1	83297.5	59834.5	38419.4	51462	57369.2	85069.3	80990.1	84502.7	59170.1	66258.2		68770.5
Q9HA64	Q9HA64;I3L2G3;I3L139;I3L3W5	KT3K_HUMAN	FN3KRP	Ketosamine-3-kinase	217518	188423	167508	100011	79049.9	105101	81773.4		109122	78668.7	97305.2	76266.6
Q9HA65	Q9HA65;M0R2L2	TBC17_HUMAN	TBC1D17	TBC1 domain family member 17	356848	401978	328520	325159	339098	421563	369492	238307	388450	409714	334797	277702
Q9HA77	Q9HA77	SYCM_HUMAN	CARS2	Probable cysteine--tRNA ligase, mitochondrial	422068	605301	304795	659140	630989	650931	689446	450839	631117	583556	560414	459575
Q9HA92	Q9HA92	RSAD1_HUMAN	RSAD1	Radical S-adenosyl methionine domain-containing protein 1, mitochondrial	56247.1	55469.4	37939.6	48703.1	52754.9	45295.4	58712.6	57167.7	51159.1	55487.5	42871.7	54546.5
Q9HAB8	Q9HAB8	PPCS_HUMAN	PPCS	Phosphopantothenate--cysteine ligase			57145.1									
Q9HAC7	Q9HAC7;H0Y4N1;H7C0H3	SUCHY_HUMAN	SUGCT	Succinate--hydroxymethylglutarate CoA-transferase		65126.2	21712.3	56784.8	36275.5	44682.2	44012.7		32209.5	29239	25228.3	
Q9HAC8	Q9HAC8	UBTD1_HUMAN	UBTD1	Ubiquitin domain-containing protein 1	30252.6	28404.4				23616.3						
Q9HAD4	Q9HAD4;B4DHS8;H0YAA3;D6RB94;D6R9E7;D6RH33;D6RBY6;D6RE66;B4DK73	WDR41_HUMAN	WDR41	WD repeat-containing protein 41	221352	255858	248575	222167	235080	207553	154146	221812	228833	216945	210521	202053
Q9HAF1	Q9HAF1	EAF6_HUMAN	MEAF6	Chromatin modification-related protein MEAF6			31100.8									24137.1
Q9HAH7	Q9HAH7;J3KNZ9	FBRS_HUMAN	FBRS	Probable fibrosin-1				51561.9			50110.1	75262.4	40342	57504.8		69029.2
Q9HAN9	Q9HAN9	NMNA1_HUMAN	NMNAT1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	197973	223583	218550	221822	224816	250859	225690	211579	204671	238134	269443	185546
Q9HAS0	Q9HAS0;J9JIC5;J3KRR1	NJMU_HUMAN	C17orf75	Protein Njmu-R1	110269	105046		166124	168309	182837	166351	90495	181202	170546	172952	162763
Q9HAT2	Q9HAT2	SIAE_HUMAN	SIAE	Sialate O-acetylesterase	135122	289594	236116	468996	554181	438849	502086	205029	544811	483693	587426	183805
Q9HAU0	Q9HAU0;B4DJX4;A0JP02	PKHA5_HUMAN	PLEKHA5	Pleckstrin homology domain-containing family A member 5	487039	740140	577248	759943	810443	747852	742622	540627	857493	808994	839151	595167
Q9HAU4	Q9HAU4;J3QQM4	SMUF2_HUMAN	SMURF2	E3 ubiquitin-protein ligase SMURF2	208723	260753	255474	264450	260677	242733	255825	248742	261516	256137	266868	217173
Q9HAU5	Q9HAU5	RENT2_HUMAN	UPF2	Regulator of nonsense transcripts 2	343256	265724	337752	365926	317195	309163	362576	368487	340495	310063	343124	367396
Q9HAU8	Q9HAU8;H7C200	RNPL1_HUMAN	RNPEPL1	Aminopeptidase RNPEPL1			19324.7	23170		16411		24327.1				
Q9HAV0	P62879;Q9HAV0;C9JIS1;C9JZN1;C9JXA5;C9JD14	GBB4_HUMAN	GNB4	Guanine nucleotide-binding protein subunit beta-4	1.62823e+06	1.34352e+06	1.41983e+06	1.37553e+06	1.31689e+06	1.31161e+06	1.49856e+06	1.68783e+06	1.28525e+06	1.31748e+06	1.23656e+06	1.80918e+06
Q9HAV4	Q9HAV4	XPO5_HUMAN	XPO5	Exportin-5	442537	305344	509664	330910	373514	356843	334191	465225	318154	315792	369367	497944
Q9HAV7	Q9HAV7	GRPE1_HUMAN	GRPEL1	GrpE protein homolog 1, mitochondrial	175992	173066	141738	137434	170221	150156	147348	195144	166373	149580	138806	152956
Q9HB07	Q9HB07;F8VR84;F8VQQ3	MYG1_HUMAN	C12orf10	UPF0160 protein MYG1, mitochondrial	1.30431e+06	1.00803e+06	1.24776e+06	1.41862e+06	1.32124e+06	1.28636e+06	1.21392e+06	1.17858e+06	1.20726e+06	1.37052e+06	1.29017e+06	1.32421e+06
Q9HB09	Q9HB09;I6LJZ7;A0A087WSV0	B2L12_HUMAN	BCL2L12	Bcl-2-like protein 12	76757.8	46843.9	66166.6	37727.5	40269.6	38364.2	42255.5	65819	46334.5		32812.7	54869.8
Q9HB19	Q9HB19;A8K727;A0A087WZ32;A0A087X038	PKHA2_HUMAN	PLEKHA2	Pleckstrin homology domain-containing family A member 2	123402		120193		15684.5		275801		20787.9		20829	15976.5
Q9HB20	Q9HB20;F8WCR7	PKHA3_HUMAN	PLEKHA3	Pleckstrin homology domain-containing family A member 3	86955	111037	73186.4	111190	115272	106538	113803	127703	119465	118109	107136	142819
Q9HB21	Q9HB21;Q5RGS4	PKHA1_HUMAN	PLEKHA1	Pleckstrin homology domain-containing family A member 1	72716	87913.4	76312.4	148227	123500	124531	126062	66958.6	133516	120383	115023	116773
Q9HB40	Q9HB40;I3L4Z3	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase		33676.2	37589.7	28278.9	28614.9	30993.1	24888.1	39268	23075	28822.7	25563.8	31717.9
Q9HB58	Q9HB58;G5E9C0	SP110_HUMAN	SP110	Sp110 nuclear body protein		21241.7		43517.5	46575.6	39957.1		36347.3	59342.5	53727.3	56290.8	42594.5
Q9HB63	Q9HB63	NET4_HUMAN	NTN4	Netrin-4	43733.6	44019.8		32162	42860.6	36551	20274.7	35188.5	39223.1	38679.9	30971.2	25465
Q9HB66	Q9HB66	Q9HB66_HUMAN	MKKS	Alternative protein MKKS	117212	166234	193502	155241	131279	122262	127554	150179	154756	126720	132340	120582
Q9HB71	Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein	2.52747e+06	1.54303e+06	2.51414e+06	1.56008e+06	1.50655e+06	1.64058e+06	1.63654e+06	2.54143e+06	1.49842e+06	1.47237e+06	1.4751e+06	2.64736e+06
Q9HB90	Q9HB90	RRAGC_HUMAN	RRAGC	Ras-related GTP-binding protein C	286093	571474	300168	443570	495869	454754	553096	392454	534852	566238	589897	318906
Q9HBD1	Q9HBD1;A6NHN2	RC3H2_HUMAN	RC3H2	Roquin-2	300256	109762	314257	97438.4	97932.5	93154.6	92596.3	85592.4	92895.4	83084.7	85603.7	97834.1
Q9HBF4	Q9HBF4;G3V5N8	ZFYV1_HUMAN	ZFYVE1	Zinc finger FYVE domain-containing protein 1	50204.2	56083.9	41195.4			34293.4	48114.3	58943.5	55614	43506.1	53062.7	190172
Q9HBG6	Q9HBG6	IF122_HUMAN	IFT122	Intraflagellar transport protein 122 homolog	111025	115294	93330.8	141717	129557	144416	125585	125820	113705	108878	112438	120186
Q9HBH1	Q9HBH1	DEFM_HUMAN	PDF	Peptide deformylase, mitochondrial	414929	439264	542694	677110	696766	571127	163817	361484	310490	214482	679504	477541
Q9HBI1	Q9HBI1;B0QYP8;A0A087WZB5	PARVB_HUMAN	PARVB	Beta-parvin	302909	209408	197957	189964	182021	179488	194746	235943	158872	162398	159392	232908
Q9HBK9	Q9HBK9;A0A087WVD4	AS3MT_HUMAN	AS3MT	Arsenite methyltransferase	53549.9							34113.1				39833.5
Q9HBL0	Q9HBL0;A0A494C067;H0Y4U1;E9PF55;A0A2R8Y4T1;E9PGF5;A0A087WWW7	TENS1_HUMAN	TNS1	Tensin-1	4.06416e+06	1.89908e+06	3.32777e+06	1.91838e+06	1.95988e+06	2.00167e+06	1.90851e+06	4.11326e+06	1.89459e+06	1.83195e+06	1.91082e+06	4.26253e+06
Q9HBL7	Q9HBL7	PLRKT_HUMAN	PLGRKT	Plasminogen receptor (KT)	73615.4	115389	73937.4	136484	170556	123134	64163.3		128972	137623	139865	75393.2
Q9HBL8	Q9HBL8	NMRL1_HUMAN	NMRAL1	NmrA-like family domain-containing protein 1	156240	158462	147230	233654	220571	220364	262397	202573	224105	220875	210235	214440
Q9HBM0	Q9HBM0;F8W8C2;F2Z3A6	VEZA_HUMAN	VEZT	Vezatin	90560.2	129505	102810	130495	130062	128611	127360	103833	133303	123622	129961	102280
Q9HBM1	Q9HBM1	SPC25_HUMAN	SPC25	Kinetochore protein Spc25	145607		141918					153192				169368
Q9HBR0	Q9HBR0;F5H3T4	S38AA_HUMAN	SLC38A10	Putative sodium-coupled neutral amino acid transporter 10	415131	482502	207380	487097	514814	460196	552066	445254	543826	566093	451302	450649
Q9HBU6	Q9HBU6;H0YH69	EKI1_HUMAN	ETNK1	Ethanolamine kinase 1	85860.9	77917.1	71141.1		86529.9	69938.6	72569.9	96759.2				
Q9HBW9	Q9HBW9;A0A590UJN9;A0A590UJX8;A0A590UJS7;A0A1W2PP07;A0A590UJU5;A0A590UJ41;A0A590UK74	AGRL4_HUMAN	ADGRL4	Adhesion G protein-coupled receptor L4		126875	372703							115724		231902
Q9HC07	Q9HC07;V9GY93	TM165_HUMAN	TMEM165	Transmembrane protein 165	95729.1	84607.4	89734.3	128631	108311	137066	127317	127698	92285.5	119359	105693	115316
Q9HC35	Q9HC35;B5MBZ0	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4	689938	743036	616948	770506	747272	605959	696806	538296	788443	758181	660960	590945
Q9HC36	Q9HC36;I3L0T6	MRM3_HUMAN	MRM3	rRNA methyltransferase 3, mitochondrial	532825	487263	140414	403579	473366	398040	292999	425008	476430	476752	347119	490281
Q9HC38	Q9HC38;F6TLX2;I3L1I0	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	1.73651e+06	1.38603e+06	1.4645e+06	1.38437e+06	1.73043e+06	1.27718e+06	1.26017e+06	1.39698e+06	1.42135e+06	1.59617e+06	1.69764e+06	1.55258e+06
Q9HC44	Q9HC44	GPBL1_HUMAN	GPBP1L1	Vasculin-like protein 1	114708	109728	55142.8	122398	129928	131151	139191	140536	111275	116734	111739	110565
Q9HC52	Q9HC52;C9J6K3;C9JM54	CBX8_HUMAN	CBX8	Chromobox protein homolog 8	107570				90637				96518.5			
Q9HC78	Q9HC78	ZBT20_HUMAN	ZBTB20	Zinc finger and BTB domain-containing protein 20	57183.9	99824.1	54574.7	90631.9	110878	106776	82312.2	58234.3	98124.2	86331.9	87980.6	64947
Q9HC96	Q9HC96;B7WPF5	CAN10_HUMAN	CAPN10	Calpain-10				19924.7	18598		30193.2		30203.9			
Q9HCB6	Q9HCB6	SPON1_HUMAN	SPON1	Spondin-1	273025	617323	304811	487611	484584	482040	489190	254397	447102	481655	542416	273953
Q9HCC0	Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	645688	736343	599503	748657	780650	798777	783827	573100	764508	768676	742348	549451
Q9HCD5	Q9HCD5	NCOA5_HUMAN	NCOA5	Nuclear receptor coactivator 5	882049	420923	394228	301250	267176	269701	285572	416632	295993	336078	317052	503701
Q9HCD6	Q9HCD6	TANC2_HUMAN	TANC2	Protein TANC2	273993	277871	191775	315873	316245	336449	314917	347783	329640	323054	327434	370243
Q9HCE0	Q9HCE0;K7ENS1	EPG5_HUMAN	EPG5	Ectopic P granules protein 5 homolog	107608	129400	82455.3	130179	125257	124109	120625	129515	135238	159233	163885	119103
Q9HCE1	Q9HCE1;Q5JR04	MOV10_HUMAN	MOV10	Helicase MOV-10	187838	137696	157724	128642	135590	130100	125983	180096	141268	134926	143655	170356
Q9HCE5	Q9HCE5;D6RBL4	MET14_HUMAN	METTL14	N6-adenosine-methyltransferase non-catalytic subunit	434773	366334	416469	334084	350122	326163	320143	384899	378425	338144	301687	434135
Q9HCE6	Q9HCE6;Q5VXI4;A0A384DVK7	ARGAL_HUMAN	ARHGEF10L	Rho guanine nucleotide exchange factor 10-like protein	31299.9	61527	41075.9	63359.3	61901.7	78759.8	52660.3	29390.4	64652	66221.5	49801.9	51690.2
Q9HCG7	Q9HCG7	GBA2_HUMAN	GBA2	Non-lysosomal glucosylceramidase	92776	178953		149930	129817	131447	173340		134957	162308	152426	
Q9HCG8	Q9HCG8;B7WP74	CWC22_HUMAN	CWC22	Pre-mRNA-splicing factor CWC22 homolog	52597.3	27096.1	51409.2	35529.5	41247.2	24175.1	37178.5	47451.3	39968.1	46209.9	38964.5	74939.3
Q9HCH0	Q9HCH0;H7C1V4	NCK5L_HUMAN	NCKAP5L	Nck-associated protein 5-like	19894.1				8466.84		15832.5					17455
Q9HCH5	Q9HCH5;A0A0U1RR07;A0A0U1RQP0;A0A0U1RQH1	SYTL2_HUMAN	SYTL2	Synaptotagmin-like protein 2	115274	332507	100891	294455	294707	290724	273861	115956	301534	307099	310136	98109
Q9HCI6	Q9HCI6;F5H2N6	K1586_HUMAN	KIAA1586	E3 SUMO-protein ligase KIAA1586											22130.7	
Q9HCJ3	Q9HCJ3;E9PE10	RAVR2_HUMAN	RAVER2	Ribonucleoprotein PTB-binding 2		73223.7		62050	75753.6	57118.7	70535.9	128300	79925.7	89722.2	77857.6	125975
